text,label
Education reforms to improve school standards announced.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Government announces new policies to boost economy.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Local community organizes charity event for the homeless.,1.0
Local community organizes charity event for the homeless.,1.0
Education reforms to improve school standards announced.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Education reforms to improve school standards announced.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Education reforms to improve school standards announced.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Government announces new policies to boost economy.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Education reforms to improve school standards announced.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Education reforms to improve school standards announced.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Government announces new policies to boost economy.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Education reforms to improve school standards announced.,1.0
Education reforms to improve school standards announced.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Education reforms to improve school standards announced.,1.0
Government announces new policies to boost economy.,1.0
Government announces new policies to boost economy.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Education reforms to improve school standards announced.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Local community organizes charity event for the homeless.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Education reforms to improve school standards announced.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Education reforms to improve school standards announced.,1.0
Government announces new policies to boost economy.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Education reforms to improve school standards announced.,1.0
Government announces new policies to boost economy.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Education reforms to improve school standards announced.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Education reforms to improve school standards announced.,1.0
Government announces new policies to boost economy.,1.0
Education reforms to improve school standards announced.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Scientists discover new species in the Amazon rainforest.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Healthcare workers to receive bonuses for their hard work.,1.0
Government announces new policies to boost economy.,1.0
Local community organizes charity event for the homeless.,1.0
Government announces new policies to boost economy.,1.0
Education reforms to improve school standards announced.,1.0
Government announces new policies to boost economy.,1.0
Government announces new policies to boost economy.,1.0
Government announces new policies to boost economy.,1.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
New miracle cure promises to cure all diseases instantly.,0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
"Aliens have been found living among us, says expert.",0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Politician accused of being a secret agent for another country.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Famous athlete retires to become a professional gamer.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Aliens have been found living among us, says expert.",0.0
"Aliens have been found living among us, says expert.",0.0
"Aliens have been found living among us, says expert.",0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Aliens have been found living among us, says expert.",0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Aliens have been found living among us, says expert.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Aliens have been found living among us, says expert.",0.0
New miracle cure promises to cure all diseases instantly.,0.0
"Aliens have been found living among us, says expert.",0.0
"Aliens have been found living among us, says expert.",0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Famous athlete retires to become a professional gamer.,0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Famous athlete retires to become a professional gamer.,0.0
Politician accused of being a secret agent for another country.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
"Aliens have been found living among us, says expert.",0.0
"Aliens have been found living among us, says expert.",0.0
New miracle cure promises to cure all diseases instantly.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
New miracle cure promises to cure all diseases instantly.,0.0
Famous athlete retires to become a professional gamer.,0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Famous athlete retires to become a professional gamer.,0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
Politician accused of being a secret agent for another country.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Politician accused of being a secret agent for another country.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Aliens have been found living among us, says expert.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
New miracle cure promises to cure all diseases instantly.,0.0
Politician accused of being a secret agent for another country.,0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
"Aliens have been found living among us, says expert.",0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
"Aliens have been found living among us, says expert.",0.0
Politician accused of being a secret agent for another country.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Politician accused of being a secret agent for another country.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
"Celebrity caught in shocking scandal, shocking the world.",0.0
Famous athlete retires to become a professional gamer.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
Politician accused of being a secret agent for another country.,0.0
Famous athlete retires to become a professional gamer.,0.0
Famous athlete retires to become a professional gamer.,0.0
New miracle cure promises to cure all diseases instantly.,0.0
Famous athlete retires to become a professional gamer.,0.0
"Aliens have been found living among us, says expert.",0.0
New miracle cure promises to cure all diseases instantly.,0.0
